Feature,Type,How important is that for the house price?,Segment,Redundant Feature?
MSSubClass,categorical,Medium,Building,Linha 17,
MSZoning,categorical,Very High,External,Linha 13,
LotFrontage,float,Low,External,,
LotArea,float,High,Geometry,,
Street,categorical,High,External,Linha 7,
Alley,categorical,Medium,External,Linha 6,
LotShape,categorical,Low/Medium,Geometry,,
LandContour,categorical,High,External,,
Utilities,categorical,Very High,Building,Linha 16,
LotConfig,categorical,Low,Geometry,,
LandSlope,categorical,Medium,Building,,
Neighborhood,categorical,Very High,External,Linha 3,
Condition1,categorical,High/Very High,External,Linha 15,
Condition2,categorical,High,External,Linha 14,
BldgType,categorical,Very High,Building,Linha 10,
HouseStyle,categorical,Medium,Building,Linha 2,
OverallQual,categorical,Very High,Building,Linha 19,
OverallCond,categorical,Very High,Building,Linha 18,
YearBuilt,int,Medium,Building,Linha 21,
YearRemodAdd,int,Medium,Building,Linha 20,
RoofStyle,categorical,Low,Building,Linha 23,
RoofMatl,categorical,Medium,Building,Linha 22,
Exterior1st,categorical,Low,External,Linha 25,
Exterior2nd,categorical,Low,External,Linha 24,
MasVnrType,categorical,Low,Building,Linha 28,
MasVnrArea,float,Low,Geometry,Linha 28,
ExterQual,categorical,Medium,Building,"Linha 27,26",
ExterCond,categorical,Medium,Building,Linha 28,
Foundation,categorical,Very High,Building,,
BsmtQual,categorical,Medium,Building,Linha 32,
BsmtCond,categorical,High,Building,"Linha 31,33",
BsmtExposure,categorical,Low,Building,Linha 32,
BsmtFinType1,categorical,High,Building,Linha 32,
BsmtFinSF1,float,High,Geometry,,
BsmtFinType2,categorical,High,Building,Linha 34,
BsmtFinSF2,float,High,Geometry,Linha 35,
BsmtUnfSF,float,Low,Geometry,,
TotalBsmtSF,float,High,Geometry,"Linha 35,37,38",
Heating,categorical,High/Very High,Building,Linha 41,
HeatingQC,categorical,High/Very High,Building,Linha 40,
CentralAir,categorical,Low,Building,Linha 41,
Electrical,categorical,Medium/High,Building,,
1stFlrSF,float,High,Geometry,,
2ndFlrSF,float,High,Geometry,,
LowQualFinSF,float,Medium,Geometry,"Linha 44,45",
GrLivArea,float,Very High,Geometry,,
BsmtFullBath,int,Medium,Geometry,Linha 49,
BsmtHalfBath,int,Medium,Geometry,Linha 48,
FullBath,int,High/Very High,Building,,
HalfBath,int,High/Very High,Building,,
Bedroom,int,High/Very High,Building,,
Kitchen,int,High,Building,,
KitchenQual,categorical,High,Building,,
TotRmsAbvGrd,int,Very High,Building,"Linha 52,53",
Functional,categorical,Very High,Building,,
Fireplaces,int,Low/Medium,Building,,
FireplaceQu,categorical,Low,Building,,
GarageType,categorical,Medium/High,Building,,
GarageYrBlt,int,Low,Building,,
GarageFinish,categorical,Low,Building,Linha 64,
GarageCars,int,Medium,Building,Linha 63,
GarageArea,float,Medium,Geometry,Linha 62,
GarageQual,categorical,Medium,Building,"Linha 61, 65",
GarageCond,categorical,Medium,Building,Linha 64,
PavedDrive,categorical,Medium,Building,"Linha 64, 65",
WoodDeckSF,float,Low/Medium,Geometry,,
OpenPorchSF,float,Low/Medium,Geometry,,
EnclosedPorch,float,High,Geometry,Linha 70,
3SsnPorch,float,High,Geometry,Linha 69,
ScreenPorch,float,High,Geometry,"Linha 69, 70",
PoolArea,float,High,Geometry,,
PoolQC,categorical,High,Building,,
Fence,categorical,High,Building,,
MiscFeature,categorical,Very High,Building,,
MiscVal,float,Very High,Building,,
MoSold,int,Low,Building,,
YrSold,int,Low,Building,,
SaleType,categorical,Low/Medium,Building,,
SaleCondition,categorical,Very High,Building,,
